caldt,mkt,ewmkt
1958-10-31,0.027184,0.032975
1958-11-28,0.03061,0.042114
1958-12-31,0.0531,0.03879
1959-01-30,0.00912,0.041502
1959-02-27,0.01122,0.028113
1959-03-31,0.004669,0.012223
1959-04-30,0.037899,0.025714
1959-05-29,0.019595,0.008206
1959-06-30,0.000676,0.004149
1959-07-31,0.034362,0.030062
1959-08-31,-0.012446,-0.014839
1959-09-30,-0.044977,-0.04576
1959-10-30,0.015746,0.023206
1959-11-30,0.018557,0.01504
1959-12-31,0.028043,0.021177
1960-01-29,-0.066244,-0.039202
1960-02-29,0.014419,0.008478
1960-03-31,-0.012822,-0.024876
1960-04-29,-0.015271,-0.01973
1960-05-31,0.034098,0.025546
1960-06-30,0.022833,0.021609
1960-07-29,-0.022705,-0.019598
1960-08-31,0.032215,0.037948
1960-09-30,-0.058673,-0.059525
1960-10-31,-0.004705,-0.02323
1960-11-30,0.048617,0.046494
1960-12-30,0.048537,0.037495
1961-01-31,0.063952,0.082048
1961-02-28,0.037005,0.06013
1961-03-30,0.03061,0.049888
1961-04-28,0.005645,0.009487
1961-05-31,0.025894,0.041572
1961-06-30,-0.028499,-0.042415
1961-07-31,0.029955,0.011517
1961-08-31,0.026854,0.021358
1961-09-29,-0.01999,-0.029686
1961-10-31,0.027331,0.020988
1961-11-30,0.045451,0.046461
1961-12-29,0.000713,-0.003757
1962-01-31,-0.036147,-0.007807
1962-02-28,0.019512,0.015405
1962-03-30,-0.004688,-0.006241
1962-04-30,-0.063435,-0.068134
1962-05-31,-0.08462,-0.098186
1962-06-29,-0.082615,-0.085125
1962-07-31,0.065438,0.064
1962-08-31,0.023417,0.037308
1962-09-28,-0.050158,-0.064045
1962-10-31,0.002188,-0.039485
1962-11-30,0.110137,0.121176
1962-12-31,0.011865,-0.025561
1963-01-31,0.051848,0.08914
1963-02-28,-0.021931,-0.014477
1963-03-29,0.032917,0.012027
1963-04-30,0.047439,0.02689
1963-05-31,0.020051,0.032306
1963-06-28,-0.018031,-0.010383
1963-07-31,-0.001717,-0.006304
1963-08-30,0.052684,0.042305
1963-09-30,-0.011898,-0.010373
1963-10-31,0.027708,0.012208
1963-11-29,-0.005549,-0.016139
1963-12-31,0.021737,-0.004228
1964-01-31,0.02579,0.032092
1964-02-28,0.017207,0.025173
1964-03-31,0.017636,0.02551
1964-04-30,0.004607,0.001004
1964-05-28,0.017403,0.007507
1964-06-30,0.01508,0.010411
1964-07-31,0.020118,0.030162
1964-08-31,-0.011266,-0.006038
1964-09-30,0.03048,0.038248
1964-10-30,0.008869,0.018821
1964-11-30,0.00309,-0.000516
1964-12-31,0.00369,-0.012365
1965-01-29,0.038646,0.071403
1965-02-26,0.006946,0.032315
1965-03-31,-0.009715,0.015393
1965-04-30,0.033652,0.04156
1965-05-28,-0.004351,-0.005845
1965-06-30,-0.051868,-0.083718
1965-07-30,0.01676,0.028634
1965-08-31,0.030883,0.041844
1965-09-30,0.031952,0.02742
1965-10-29,0.029271,0.058679
1965-11-30,0.003065,0.046544
1965-12-31,0.013545,0.042981
1966-01-31,0.012122,0.06417
1966-02-28,-0.008621,0.028865
1966-03-31,-0.020923,-0.008889
1966-04-29,0.024837,0.046619
1966-05-31,-0.052538,-0.086024
1966-06-30,-0.010317,-0.004988
1966-07-29,-0.01287,-0.016316
1966-08-31,-0.075388,-0.100714
1966-09-30,-0.006958,-0.018161
1966-10-31,0.042294,-0.014385
1966-11-30,0.017516,0.040725
1966-12-30,0.00621,0.017306
1967-01-31,0.08553,0.172103
1967-02-28,0.010945,0.042368
1967-03-31,0.043384,0.058244
1967-04-28,0.041609,0.041928
1967-05-31,-0.039293,-0.008098
1967-06-30,0.026902,0.081958
1967-07-31,0.04919,0.083251
1967-08-31,-0.006282,0.006312
1967-09-29,0.034286,0.062963
1967-10-31,-0.027433,-0.020594
1967-11-30,0.007902,0.000878
1967-12-29,0.033699,0.080465
1968-01-31,-0.036331,0.023902
1968-02-29,-0.033624,-0.056118
1968-03-29,0.005117,-0.011218
1968-04-30,0.094148,0.143031
1968-05-31,0.02704,0.091309
1968-06-28,0.011527,0.016225
1968-07-30,-0.022024,-0.02621
1968-08-30,0.018037,0.035918
1968-09-30,0.044454,0.068808
1968-10-31,0.009042,0.006913
1968-11-29,0.058501,0.071994
1968-12-31,-0.033873,0.005896
1969-01-31,-0.006711,-0.001688
1969-02-28,-0.053641,-0.085728
1969-03-28,0.030505,0.02029
1969-04-30,0.020527,0.003459
1969-05-29,0.00504,0.006262
